"price","types","address","latitude","longtitude","date","sq.","TotalBeds","TotalBaths","TotalReceptions","FlatType"
6e+05,"4 bed semi-detached house for sale ","Littleheath Road, Selsdon, South Croydon CR2",51.345871,-0.062669,"2/9/2021","1,361",4,1,2,"semi-detached house"
3950000,"3 bed flat for sale ","Queen Anne's Gate, Westminster, London SW1H",51.500872,-0.132372,"2/9/2021",NA,3,2,1,"flat"
6e+05,"2 bed semi-detached house for sale ","Marlton Street, London SE10",51.486611,0.013157,"2/9/2021",NA,2,1,1,"semi-detached house"
4e+05,"1 bed flat for sale ","Signia Court, Wembley Hill Road, Wembley, Middlesex HA9",51.555883,-0.286447,"2/9/2021",NA,1,1,1,"flat"
489950,"2 bed flat for sale ","Cecil Close, Mount Avenue, London W5",51.524281,-0.302247,"2/9/2021",NA,2,1,1,"flat"
750000,"3 bed flat for sale ","Landward Court, Marylebone, London W1H",51.5172,-0.165112,"2/9/2021",NA,3,2,1,"flat"
550000,"2 bed flat for sale ","Compton Road, Winchmore Hill N21",51.632083,-0.098534,"2/9/2021",NA,2,1,1,"flat"
999950,"5 bed detached house for sale ","Cunningham Park, Harrow HA1",51.587723,-0.345769,"2/9/2021",NA,5,2,3,"detached house"
750000,"4 bed terraced house for sale ","Lower Richmond Road, Richmond, Surrey TW9",51.467894,-0.28164,"2/9/2021",NA,4,2,2,"terraced house"
9e+05,"2 bed mews house for sale ","Blake Mews, Kew, Richmond, Surrey TW9",51.476182,-0.285735,"2/9/2021",NA,2,2,2,"mews house"
820000,"3 bed terraced house for sale ","Winters Road, Thames Ditton KT7",51.389717,-0.32296,"2/9/2021",NA,3,3,2,"terraced house"
340000,"2 bed flat for sale ","Lyonsdown Road, Barnet EN5",51.644899,-0.178265,"2/9/2021",NA,2,1,1,"flat"
4e+05,"2 bed flat for sale ","Coppetts Road, London N10",51.604291,-0.15554,"2/9/2021",NA,2,2,1,"flat"
595000,"3 bed flat for sale ","Signia Court, Wembley Hill Road, Wembley, Middlesex HA9",51.555883,-0.286447,"2/9/2021",NA,3,1,1,"flat"
350000,"Studio for sale ","Filmer Road, London SW6",51.479768,-0.207349,"2/9/2021",NA,0,1,1,NA
1400000,"2 bed flat for sale ","Harcourt Terrace, London SW10",51.487737,-0.186463,"2/9/2021",NA,2,1,0,"flat"
8e+05,"2 bed flat for sale ","St. George Wharf, London SW8",51.485704,-0.125117,"2/9/2021",NA,2,2,1,"flat"
310000,"1 bed flat for sale ","Homerton High Street, Hackney E9",51.54781,-0.045571,"2/9/2021",NA,1,1,1,"flat"
1150000,"7 bed semi-detached house for sale ","Westbrook Road, Heston, Hounslow TW5",51.483508,-0.377074,"2/9/2021",NA,7,3,1,"semi-detached house"
1500000,"3 bed end terrace house for sale ","Rotherfield Street, Islington, London N1",51.540295,-0.092688,"2/9/2021",NA,3,2,2,"end terrace house"
399950,"1 bed flat for sale ","Cumberland Mills Square, London E14",51.487789,-0.005776,"2/9/2021",NA,1,1,1,"flat"
725000,"2 bed maisonette for sale ","Brandlehow Road, London SW15",51.461379,-0.207417,"2/9/2021",NA,2,2,1,"maisonette"
475000,"3 bed terraced house for sale ","Dirdene Gardens, Epsom KT17",51.337402,-0.25659,"2/9/2021",NA,3,1,2,"terraced house"
399950,"2 bed flat for sale ","Lapford Close, London W9",51.527031,-0.202144,"2/9/2021",NA,2,1,1,"flat"
